Leaky ReLU 1000,ave100 100ステップごとに画像出したやつ time:1回目980.9021223187447 分、2回目887.146327996254 分、3回目974.852148671945分
Step 500, Loss 0.0597
Step 600, Loss 0.0591
Step 700, Loss 0.0583
Step 800, Loss 0.0578
Step 900, Loss 0.0575
Step 999, Loss 0.0570
57 回目
Step 0, Loss 8.6598
Step 100, Loss 0.2326
Step 200, Loss 0.0797
Step 300, Loss 0.0679
Step 400, Loss 0.0646
Step 500, Loss 0.0627
Step 600, Loss 0.0614
Step 700, Loss 0.0609
Step 800, Loss 0.0599
Step 900, Loss 0.0588
Step 999, Loss 0.0583
58 回目
Step 0, Loss 8.7666
Step 100, Loss 0.2148
Step 200, Loss 0.0726
Step 300, Loss 0.0665
Step 400, Loss 0.0641
Step 500, Loss 0.0623
Step 600, Loss 0.0613
Step 700, Loss 0.0605
Step 800, Loss 0.0599
Step 900, Loss 0.0595
Step 999, Loss 0.0591
59 回目
Step 0, Loss 5.9903
Step 100, Loss 0.1190
Step 200, Loss 0.0675
Step 300, Loss 0.0628
Step 400, Loss 0.0614
Step 500, Loss 0.0600
Step 600, Loss 0.0590
Step 700, Loss 0.0584
Step 800, Loss 0.0580
Step 900, Loss 0.0576
Step 999, Loss 0.0573
60 回目
Step 0, Loss 5.9080
Step 100, Loss 0.0945
Step 200, Loss 0.0642
Step 300, Loss 0.0606
Step 400, Loss 0.0591
Step 500, Loss 0.0584
Step 600, Loss 0.0580
Step 700, Loss 0.0576
Step 800, Loss 0.0571
Step 900, Loss 0.0572
Step 999, Loss 0.0566
61 回目
Step 0, Loss 5.6199
Step 100, Loss 0.1031
Step 200, Loss 0.0683
Step 300, Loss 0.0632
Step 400, Loss 0.0615
Step 500, Loss 0.0603
Step 600, Loss 0.0724
Step 700, Loss 0.0596
Step 800, Loss 0.0586
Step 900, Loss 0.0582
Step 999, Loss 0.0579
62 回目
Step 0, Loss 8.6658
Step 100, Loss 0.2536
Step 200, Loss 0.1061
Step 300, Loss 0.0844
Step 400, Loss 0.0750
Step 500, Loss 0.0693
Step 600, Loss 0.0656
Step 700, Loss 0.0630
Step 800, Loss 0.0612
Step 900, Loss 0.0600
Step 999, Loss 0.0592
63 回目
Step 0, Loss 7.3782
Step 100, Loss 0.3008
Step 200, Loss 0.1108
Step 300, Loss 0.0791
Step 400, Loss 0.0690
Step 500, Loss 0.0643
Step 600, Loss 0.0620
Step 700, Loss 0.0608
Step 800, Loss 0.0599
Step 900, Loss 0.0591
Step 999, Loss 0.0586
64 回目
Step 0, Loss 5.8085
Step 100, Loss 0.0808
Step 200, Loss 0.0650
Step 300, Loss 0.0617
Step 400, Loss 0.0606
Step 500, Loss 0.0643
Step 600, Loss 0.0625
Step 700, Loss 0.0586
Step 800, Loss 0.0664
Step 900, Loss 0.0588
Step 999, Loss 0.0573
65 回目
Step 0, Loss 6.3756
Step 100, Loss 0.1720
Step 200, Loss 0.0751
Step 300, Loss 0.0679
Step 400, Loss 0.0636
