ReLU 1000,ave100 100ステップごとに画像出したやつ time:1回目668.7474095781644 分、2回目971.0430014014244 分、3回目1012.7737502455711 分

二回目の時のうまくいったときのやつ↓
Step 400, Loss 0.0617
Step 500, Loss 0.0592
Step 600, Loss 0.0583
Step 700, Loss 0.0585
Step 800, Loss 0.0573
Step 900, Loss 0.0569
Step 999, Loss 0.0564
82 回目
Step 0, Loss 6.5781
Step 100, Loss 0.8285
Step 200, Loss 0.0904
Step 300, Loss 0.0690
Step 400, Loss 0.0658
Step 500, Loss 0.0654
Step 600, Loss 0.0629
Step 700, Loss 0.0626
Step 800, Loss 0.0613
Step 900, Loss 0.0645
Step 999, Loss 0.0601
83 回目
Step 0, Loss 6.5626
Step 100, Loss 0.2362
Step 200, Loss 0.0775
Step 300, Loss 0.0664
Step 400, Loss 0.0621
Step 500, Loss 0.0603
Step 600, Loss 0.0596
Step 700, Loss 0.0592
Step 800, Loss 0.0585
Step 900, Loss 0.0600
Step 999, Loss 0.0578
84 回目
Step 0, Loss 5.3988
Step 100, Loss 0.1398
Step 200, Loss 0.0687
Step 300, Loss 0.0635
Step 400, Loss 0.0610
Step 500, Loss 0.0599
Step 600, Loss 0.0611
Step 700, Loss 0.0588
Step 800, Loss 0.0583
Step 900, Loss 0.0580
Step 999, Loss 0.0579
85 回目
Step 0, Loss 6.8987
Step 100, Loss 0.1295
Step 200, Loss 0.0760
Step 300, Loss 0.0691
Step 400, Loss 0.0671
Step 500, Loss 0.0636
Step 600, Loss 0.0621
Step 700, Loss 0.0609
Step 800, Loss 0.0601
Step 900, Loss 0.0594
Step 999, Loss 0.0592
86 回目
Step 0, Loss 5.0985
Step 100, Loss 0.0744
Step 200, Loss 0.0617
Step 300, Loss 0.0599
Step 400, Loss 0.0588
Step 500, Loss 0.0580
Step 600, Loss 0.0572
Step 700, Loss 0.0564
Step 800, Loss 0.0559
Step 900, Loss 0.0581
Step 999, Loss 0.0555
87 回目
Step 0, Loss 7.1905
Step 100, Loss 0.1485
Step 200, Loss 0.0722
Step 300, Loss 0.0645
